task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
bernoulli_glm_raw,10⁵,9,SNPE,0.5325,0.0028342009,3.3166248999999994,,854.4771484375,11.361412802513408,5aca48d2-9a97-4f58-88c4-5c9e439133a3
gaussian_linear,10⁴,4,SMC-ABC,0.9317,0.24342704,1.7493066000000002,,0.028664414087931318,13.998929845364795,3c5f4cdf-6647-47ef-903d-c6235b9f3b13
gaussian_linear_uniform,10⁵,9,NLE,0.5003,0.0002721548,1.293093,,25.78768513997396,3.4027634880104958,952fa8a6-e932-413f-ac72-1a150da44f78
slcp_distractors,10³,10,SNLE,0.9724,0.24677336,351.50598,,25.24748331705729,,4610f6ff-93df-407a-938b-be84ed255deb
slcp,10⁵,3,SNRE,0.6479,0.0014976263,26.576508,,190.67594401041663,13.777622796036654,7663ccb4-85fc-4779-a4ef-c0afb2dbf4ed
slcp_distractors,10³,7,NPE,0.9927,0.07994783,1076.8821,12.463095664978027,0.2241559664408366,,c5607982-5b50-47ae-9072-bccdc84d4974
slcp_distractors,10³,3,NRE,0.97985,0.15423942,386.02765,,2.954638671875,,93c3bdaa-f93d-481d-a6e1-9fde86dfa1ae
slcp,10³,7,REJ-ABC,0.9898,0.07653344,27.47265,,0.02048043807347616,40.120928191217885,5a21fcd0-0cc5-4002-933c-5c1735ecbeb4
slcp,10⁵,4,SNLE,0.5987,0.001625061,3.4932253,,74.57364908854167,18.6444988197238,69bfd320-e43b-4e46-8c5e-69f6564e37fc
slcp_distractors,10⁵,8,REJ-ABC,0.9928,0.24886220000000006,424.5282,,1.8224366505940757,,92b18c19-76de-4ecf-a6a2-020f931f74bd
bernoulli_glm,10⁵,4,NRE,0.80245,0.2039001,12.281747,,101.97161458333332,11.29462709428796,17c8992c-7b7f-4c74-9f6f-22831879cae9
slcp,10³,3,SNRE,0.9433,0.22304106,25.163368,,7.177960205078125,37.0863207761045,0e9fdda6-a7d2-4b44-8ccb-4d655b0c5179
lotka_volterra,10⁵,6,NPE,0.9802,0.48507366,27.708633000000006,-15.913853645324707,106.10575358072916,18.843726208018285,2f8507f5-19a5-40bb-a580-969a1993bcfd
slcp_distractors,10³,9,SNRE,0.97575,0.27046776,712.5404,,7.229129536946615,,ab8edf0f-2599-40a8-ad9a-79250db3d3e5
gaussian_mixture,10³,6,SNPE,0.6908,0.021424055,1.2724355,,2.12718989054362,11.493792287542473,2d3fe653-15ba-4ab7-95f7-6e0dec356bf5
gaussian_linear_uniform,10⁵,1,NRE,0.6039,0.010779381,1.4252098,,109.51951497395834,4.869214192744417,d75dd61d-8786-47bd-8fe1-ca30d3391b54
slcp_distractors,10³,7,SNLE,0.99965,0.431471,1077.0002,,29.352606201171874,,c20cb806-876d-49c3-801a-e8193b7cdeca
lotka_volterra,10³,4,NPE,0.9998,0.6291730999999999,479.35034,-5.910239219665527,1.0547626495361329,25.234787322109238,cf413fce-9d60-4148-b984-5892b1cb602c
slcp_distractors,10⁵,3,NPE,0.80115,0.012385607,386.07156,5.109114170074463,71.863671875,,3a2dcba8-353c-4972-a64b-53381b898384
slcp_distractors,10³,3,REJ-ABC,0.98705,0.09788716,387.43924,,0.03956833680470785,,27277d73-b3cb-4abd-9bef-b0bbab115977
gaussian_mixture,10³,5,NLE,0.7912,0.21444637,1.868556,,3.0446103413899737,11.326813935293586,b3b20a0b-d34c-442f-b139-a62d9ad01f4c
slcp_distractors,10⁵,6,NPE,0.8633,0.013299704,344.58337,4.29286527633667,70.61410319010416,,d22b28a4-6dbd-4d51-a785-e92d63c713e1
two_moons,10⁵,4,NPE,0.51355,-0.00210011,0.087000504,-2.5877578258514404,23.648429361979165,,145a4ae4-bdb7-4552-8452-327781e93568
gaussian_mixture,10⁴,2,SNRE,0.7356,0.006840825,0.8445478999999999,,5.300516764322917,8.977309602817137,2799b2ca-b126-4e2f-a803-3c8b9599ec2d
gaussian_mixture,10⁵,3,SNPE,0.5264,-0.0013723373,1.1253779,,341.22626953125,8.996314069450106,219b288f-92f4-459b-be19-cb6e99be1a1e
gaussian_linear,10³,8,SNRE,0.6567,0.020017743,1.5382347,,11.304700724283855,11.403404082678176,8348f3bd-0557-49f4-9751-b8226c48ef2b
lotka_volterra,10⁴,1,SNLE,0.774,0.009965777,6.3684650000000005,,,19.907667140313638,c8992cc2-dd94-4609-8586-916a366d3ea4
bernoulli_glm_raw,10⁵,10,NRE,0.74725,0.06327695,5.385164700000002,,108.72091471354166,12.051844896066461,e6332a50-3afb-439b-ac78-32f1381dbbd6
lotka_volterra,10⁴,4,NLE,1.0,0.596057,386.84418,,17.573356119791665,22.520556729605666,506fa8eb-a538-4a0c-8809-b50e9f8252f7
slcp_distractors,10³,5,SNRE,0.97355,0.25554383,896.6975,,7.328493754069012,,8f981657-c7d1-4642-b1c0-c5ec9c3043e8
gaussian_linear,10³,7,SNPE,0.63775,0.020113945,1.4532809,,2.916254425048828,11.294316442124384,04615499-d459-4984-8041-03d6db8201cd
slcp,10⁵,5,NRE,0.9619,0.1898222,17.700094,,198.66946614583333,36.87076377304374,3b6b733a-1b53-4789-a28f-99226c7c317d
gaussian_linear,10⁵,4,SNLE,0.52515,0.0020422935,1.5475106,,83.39514973958333,9.015166496833592,a32177c1-d62c-4424-b4b2-3ee48537cf41
lotka_volterra,10³,10,NPE,0.99965,0.5474095999999999,164.80148,-5.568285942077637,0.8273512522379557,21.32805202109911,64329947-e64f-403a-b764-4b9469089820
sir,10⁴,5,SNLE,0.6566,0.06546616599999999,23.065125,,11.890399169921874,15.62516765485386,ea4f06dd-d734-4e45-9619-16390ec41168
gaussian_mixture,10⁵,8,NLE,0.89495,0.4691652,7.712762400000001,,14.812956746419273,15.437737836680851,00ef0751-642b-498c-8462-cda2d6d4ed05
slcp_distractors,10⁴,7,NPE,0.9786,0.11226523,1076.7769,12.76565933227539,6.491854858398438,,1d1d8994-8308-4eb3-ad28-d0e8397dd5cf
lotka_volterra,10⁴,9,SNPE,0.93985,0.25355422,39.68799600000001,,,19.89483109402676,910b5573-db42-402a-850b-7a2087649b45
bernoulli_glm_raw,10⁵,4,SNLE,0.9873,0.8223560999999999,3.1622777,,162.107470703125,12.654985418068414,e08ab0b9-10dc-4c32-8927-2654d7b67511
gaussian_linear,10⁵,10,SNLE,0.52285,0.00071680546,1.4910434,,82.316748046875,7.608136629720813,acf11129-0bd1-4bb7-9c7a-f64867efc07c
bernoulli_glm_raw,10⁴,5,SNLE,0.9449,0.20463991,5.385164700000002,,48.8431884765625,13.870548781343592,b6632d4a-4d44-4aaa-9dfc-b419e097500e
lotka_volterra,10⁵,3,NRE,0.9971,0.49828756,20.937088,,,20.12647210997321,4ba29e67-e5b5-4db1-8412-8dcec490933a
slcp,10⁴,7,NLE,0.92825,0.039777637000000005,27.863503,,14.547456868489585,17.992324235596474,2f1c324c-9519-4f99-8128-550b4c7591fc
gaussian_linear_uniform,10⁵,5,NLE,0.50665,0.0002604723,1.3073097,,26.630816650390624,3.514125391471356,3c883ebe-2a11-4467-90bc-15c3cf2ddaf2
gaussian_linear,10⁵,8,NLE,0.5226,0.0026701689,1.5451452,,24.60909627278646,9.316196384854985,c20b9538-0d23-421a-84bf-d63668a4cd8a
gaussian_linear_uniform,10⁴,4,NLE,0.53215,0.0013848543,1.3670993,,14.332452392578125,4.366334403114808,907b52bb-ece2-4211-bb6d-1d13653963f3
two_moons,10⁵,3,NPE,0.55825,-0.00864315,0.092289805,-3.737605094909668,17.684041341145832,inf,abdc8610-87a4-4010-88c6-f17a9351153a
lotka_volterra,10⁴,10,SNRE,0.8314,0.12631762,20.713531,,10.635665893554688,21.682350735729777,63d9eb99-85c3-4939-88ee-9d63f933d8ca
lotka_volterra,10⁴,8,SNLE,0.6486,0.029369235,17.812445,,,15.82317799804836,6f0c3d01-112b-4f61-adba-f5e83f3dc1a3
bernoulli_glm_raw,10⁵,4,SMC-ABC,0.91035,0.098144114,3.8729835,,0.4431720097859701,10.092289938317263,4abd5406-4914-40bf-9b7d-5801c0b86237
slcp_distractors,10⁴,7,REJ-ABC,0.99355,0.13354492,1076.8687,,0.2166226069132487,,58ab04ba-4b48-4aae-8d94-4dd0f16ea52c
sir,10³,10,NPE,0.82205,0.22387677,42.649734,-6.276741981506348,0.933767827351888,14.47886243431829,b0b5cbbf-747e-4e03-a0f0-1bbab4468f3f
lotka_volterra,10⁵,4,NRE,0.9999,0.5691843000000001,885.9321,,97.64645182291666,26.12468125170187,49d311d8-2703-4a7a-9dbd-4150a1a2d134
gaussian_linear,10⁵,4,NLE,0.52845,0.0028173923,1.5700188,,23.278759765625,9.494406213740302,813cf8e0-77cd-461d-a82b-edb7ae3f56b7
lotka_volterra,10⁴,6,SNRE,0.9685,0.5510286,25.18203,,11.484037272135415,20.169837815237727,b552f1b2-e285-44cb-969f-c83a8925aec8
two_moons,10⁴,5,NLE,0.71745,0.005120516,0.10243681,,5.8183135986328125,inf,5aac177b-b6a5-431e-ae13-00fb57b2c4c3
gaussian_linear_uniform,10⁵,4,SMC-ABC,0.76045,0.027501583,1.5810392,,0.1948675791422526,5.612976416051557,05745890-e7b3-4d8b-a4d5-eab345663df3
slcp_distractors,10³,5,NLE,0.97955,0.3313645,896.6822,,11.155267333984378,,0ed80c3d-5500-4bbb-84e8-dfb9f0df8817
gaussian_linear,10⁴,8,SNRE,0.54315,0.003917217299999999,1.5223671,,14.287660725911458,9.663172282548599,d7275204-5bdc-4f16-93d6-c3873953ca36
gaussian_linear,10³,10,SNPE,0.66965,0.026528,1.5851594,,2.9849367777506512,11.647989170503454,453d09c5-e854-4e1e-97d2-2f07cca2de20
gaussian_linear,10³,6,NLE,0.6023,0.013383865,1.3338566,,10.561153157552084,11.002084174414847,74fd0053-13a6-4e92-806e-7ef86d329cac
slcp_distractors,10⁵,2,REJ-ABC,0.9909,0.27553886,379.4286,,1.9200181325276693,,2cd12b34-ae24-449b-8177-79ad8733a67d
sir,10⁴,6,SNRE,0.5760000000000001,0.009108543,22.869194,,7.4691507975260425,15.215347675580974,ca0ec2e9-b0b0-4b48-87e4-b8bba0c198a7
